executed instruction (except nop): 4875

Address   Hex.       Dec.
00000400: 00000047 # 71
00000404: 0000004E # 78
00000408: 00000077 # 119
0000040C: 000000D6 # 214
00000410: 000000EB # 235
00000414: 00000166 # 358
00000418: 0000016E # 366
0000041C: 0000023F # 575
00000420: 00000246 # 582
00000424: 00000283 # 643
00000428: 000002C2 # 706
0000042C: 000002D2 # 722
00000430: 0000036A # 874
00000434: 0000039B # 923
00000438: 000003DE # 990
0000043C: 000003E3 # 995
00000440: 000003F6 # 1014
00000444: 00000433 # 1075
00000448: 0000043B # 1083
0000044C: 0000044B # 1099
00000450: 0000047A # 1146
00000454: 0000049A # 1178
00000458: 000004B2 # 1202
0000045C: 000004E2 # 1250
00000460: 0000056F # 1391
00000464: 000005CF # 1487
00000468: 00000617 # 1559
0000046C: 0000069F # 1695
00000470: 000006A7 # 1703
00000474: 000006BE # 1726
00000478: 000006D3 # 1747
0000047C: 0000078A # 1930
