executed instruction (except nop): 488

Address   Hex.       Dec.
00000400: 00000009 # 9
00000404: 0000001C # 28
00000408: 0000000E # 14
0000040C: 00000007 # 7
00000410: 00000016 # 22
00000414: 0000000B # 11
00000418: 00000022 # 34
0000041C: 00000011 # 17
00000420: 00000034 # 52
00000424: 0000001A # 26
00000428: 0000000D # 13
0000042C: 00000028 # 40
00000430: 00000014 # 20
00000434: 0000000A # 10
00000438: 00000005 # 5
0000043C: 00000010 # 16
00000440: 00000008 # 8
00000444: 00000004 # 4
00000448: 00000002 # 2
0000044C: 00000001 # 1
