executed instruction (except nop): 153

Address   Hex.       Dec.
00000400: 00000000 # 0
00000404: 00000001 # 1
00000408: 00000001 # 1
0000040C: 00000002 # 2
00000410: 00000003 # 3
00000414: 00000005 # 5
00000418: 00000008 # 8
0000041C: 0000000D # 13
00000420: 00000015 # 21
00000424: 00000022 # 34
00000428: 00000037 # 55
0000042C: 00000059 # 89
00000430: 00000090 # 144
00000434: 000000E9 # 233
00000438: 00000179 # 377
0000043C: 00000262 # 610
00000440: 000003DB # 987
00000444: 0000063D # 1597
00000448: 00000A18 # 2584
0000044C: 00001055 # 4181
