executed instruction (except nop): 2077

Address   Hex.       Dec.
00000400: 00000080 # 128
00000404: 000000A8 # 168
00000408: 000000AC # 172
0000040C: 00000111 # 273
00000410: 00000119 # 281
00000414: 00000181 # 385
00000418: 0000019D # 413
0000041C: 000001A9 # 425
00000420: 000001E5 # 485
00000424: 000001F9 # 505
00000428: 00000205 # 517
0000042C: 00000231 # 561
00000430: 000002D5 # 725
00000434: 00000308 # 776
00000438: 00000334 # 820
0000043C: 00000338 # 824
00000440: 0000034C # 844
00000444: 0000039C # 924
00000448: 000003AD # 941
0000044C: 000003BD # 957
00000450: 000003E4 # 996
00000454: 00000484 # 1156
00000458: 000004D8 # 1240
0000045C: 000004E0 # 1248
00000460: 000004FC # 1276
00000464: 0000058D # 1421
00000468: 000005B0 # 1456
0000046C: 00000610 # 1552
00000470: 00000689 # 1673
00000474: 00000694 # 1684
00000478: 000006A1 # 1697
0000047C: 000006F5 # 1781
0000075C: 0000011C # 284
00000760: 00000400 # 1024
00000764: 0000001B # 27
00000768: 0000001E # 30
0000076C: 0000001D # 29
00000770: 0000011C # 284
00000774: 00000400 # 1024
00000778: 0000001B # 27
0000077C: 0000001F # 31
00000780: 0000001F # 31
00000784: 00000134 # 308
00000788: 00000400 # 1024
0000078C: 00000019 # 25
00000790: 0000001F # 31
00000794: 0000001A # 26
00000798: 00000134 # 308
0000079C: 00000400 # 1024
000007A0: 00000015 # 21
000007A4: 0000001F # 31
000007A8: 00000018 # 24
000007AC: 00000134 # 308
000007B0: 00000400 # 1024
000007B4: 0000000C # 12
000007B8: 0000001F # 31
000007BC: 00000014 # 20
000007C0: 00000134 # 308
000007C4: 00000400 # 1024
000007C8: 00000003 # 3
000007CC: 0000001F # 31
000007D0: 0000000B # 11
000007D4: 00000134 # 308
000007D8: 00000400 # 1024
000007DC: 00000000 # 0
000007E0: 0000001F # 31
000007E4: 00000002 # 2
000007E8: 00000018 # 24
